,,,,Mass (g) vs Time,,,,,,,,,,,,,,,,
,,,,1/30/23,1/31/23,2/1/23,2/2/23,2/3/23,2/6/23,2/7/23,2/8/23,2/9/23,2/10/23,2/13/23,2/14/23,2/15/23,2/16/23,2/17/23,2/20/23,
Egg,Relative size (1-3),Shell Variation (1 yes 0 no),Comment,1,2,3,4,5,8,9,10,11,12,15,16,17,18,19,22,
1,,,,31.45,31.18,30.85,30.5,30.2,29.36,29.03,28.77,28.3,,,,,,,,
2,,,,27.36,27.16,26.9,26.62,26.38,25.72,25.47,25.24,24.88,,,,,,,,
3,,,,28.16,27.93,27.64,27.33,27.06,26.35,26.07,25.82,25.43,,,,,,,,
4,,,,25.69,25.43,25.09,24.74,24.44,23.62,23.32,23.02,22.62,,,,,,,,
5,,,,27.50,27.27,26.97,26.65,26.37,25.62,25.33,25.07,24.68,,,,,,,,
6,,,,31.00,30.68,30.29,29.87,29.52,28.58,28.22,27.9,27.44,,,,,,,,
7,,,,23.22,23.01,22.73,22.43,22.18,21.49,21.23,20.99,20.67,,,,,,,,
8,,,,27.85,27.64,27.36,27.05,26.78,26.06,25.79,25.54,25.19,,,,,,,,
9,,,,29.47,29.23,28.93,28.62,28.35,27.57,27.26,27,26.63,,,,,,,,
10,,,,25.53,25.26,24.93,24.59,24.3,23.48,23.15,22.87,22.47,,,,,,,,
11,,,,28.10,27.9,27.64,27.36,27.13,26.49,26.24,26.02,25.7,,,,,,,,
12,,,,25.32,24.99,24.54,24.07,23.68,22.62,22.2,21.85,21.3,,,,,,,,
13,,,,29.50,29.28,29.01,28.73,28.49,27.84,27.59,27.38,27.07,,,,,,,,
14,,,,26.83,26.6,26.29,25.95,25.67,24.91,24.6,24.35,23.95,,,,,,,,
15,,,,28.29,28.00,27.63,27.2,26.84,25.87,25.49,25.16,24.68,,,,,,,,
16,,,,30.43,30.19,29.86,29.5,29.21,28.39,28.09,27.79,27.37,,,,,,,,
17,,,,28.80,28.53,28.22,27.89,27.62,26.83,26.52,26.25,25.85,,,,,,,,
18,,,,28.37,28.1,27.73,27.37,27.05,26.15,25.8,25.5,25.04,,,,,,,,
19,,,,32.55,32.29,31.95,31.59,31.29,30.45,30.13,29.84,29.39,,,,,,,,
20,,,,29.50,28.85,28.58,28.31,28.07,27.45,27.2,26.98,26.66,,,,,,,,
21,,,,28.31,25.1,24.81,24.5,24.25,23.6,23.33,23.11,22.77,,,,,,,,
22,,,,28.76,28.54,28.23,27.89,27.59,26.82,26.52,26.25,25.85,,,,,,,,
23,,,,31.41,31.2,30.9,30.56,30.28,29.52,29.23,28.97,28.58,,,,,,,,
24,,,,29.69,29.27,28.8,28.32,27.91,26.71,26.26,25.88,25.25,,,,,,,,
25,,,,28.80,28.58,28.32,29.05,27.82,27.17,26.91,26.69,26.35,,,,,,,,
26,,,,29.85,29.61,29.3,28.97,28.7,27.91,27.59,27.32,26.91,,,,,,,,
27,,,,27.81,27.62,27.36,27.07,26.84,26.19,25.93,25.71,25.37,,,,,,,,
28,,,,26.32,26.11,25.82,25.47,25.2,24.44,24.15,23.88,23.46,,,,,,,,
29,,,,30.88,30.64,30.29,29.88,29.56,28.62,28.27,27.94,27.45,,,,,,,,
30,,,,30.05,29.81,29.49,29.12,28.8,27.92,27.59,27.28,26.82,,,,,,,,
31,,,,26.50,26.25,25.93,25.59,25.32,24.49,24.17,23.87,23.44,,,,,,,,
32,,,,28.95,28.69,28.35,27.99,27.7,26.4,26.5,26.21,25.78,,,,,,,,
33,,,,31.24,31.02,30.72,30.4,30.15,29.38,29.1,28.82,28.42,,,,,,,,
34,,,,29.59,29.35,29.03,28.67,28.39,27.58,27.28,26.98,26.54,,,,,,,,
35,,,,26.82,26.61,26.34,26.02,25.76,25.03,24.76,24.49,24.1,,,,,,,,
36,super tiny,,,12.08,11.89,11.63,11.32,11.09,10.38,10.13,9.87,9.49,,,,,,,,
37,,,,,31,30.69,30.33,30.04,29.2,28.9,28.6,28.16,,,,,,,,
38,,,,,33.33,33.02,32.67,32.38,31.55,31.26,30.95,30.52,,,,,,,,
39,,,,,28.23,27.83,27.41,27.07,26.03,25.64,25.26,24.73,,,,,,,,
40,,,,,31.86,31.54,31.19,30.9,30.07,29.76,29.47,29.03,,,,,,,,
41,,,duck,,,68.21,67.52,66.98,65.32,64.7,64.13,63.31,,,,,,,,
42,,,duck,,,75.65,74.9,74.34,72.65,72.01,71.39,70.48,,,,,,,,
43,,,duck,,,78.59,77.67,76.96,74.88,74.11,73.41,72.41,,,,,,,,
44,,,duck,,,76.76,76.19,75.74,74.39,73.89,73.39,72.66,,,,,,,,
45,,,duck,,,71.72,71.34,71.03,70.15,69.83,69.54,69.1,,,,,,,,
46,,,duck,,,73.18,72.49,71.94,70.3,69.78,69.13,68.31,,,,,,,,